Entity,Label,Ner_model,go_output,umls_output,mesh_output,hpo_output
Golgi,ORGANISM_SUBSTANCE,bionlp13cg,[Golgi],[Golgi],[Golgi],[Golgi]
Klumperman,GENE_OR_GENE_PRODUCT,bionlp13cg,[Klumperman],[Klumperman],[Klumperman],[Klumperman]
membrane protein (M,GENE_OR_GENE_PRODUCT,bionlp13cg,[membrane protein],[membrane protein],[membrane protein],[membrane protein]
host cellular membrane,CELL,bionlp13cg,[host],[host],[host],[host]
viral cell,CELL,bionlp13cg,[viral cell],[viral cell],[viral cell],[viral cell]
MHV replicase,ORGANISM,bionlp13cg,[MHV],[MHV],[MHV],[MHV]
monolayer,CELL,bionlp13cg,[monolayer],[monolayer],[monolayer],[monolayer]
cDNA clones,CELL,bionlp13cg,[cDNA clones],[cDNA clones],[cDNA clones],[cDNA clones]
clone,CELL,bionlp13cg,[clone],[clone],[clone],[clone]
"Snijder et al.,",ORGANISM,bionlp13cg,[Snijder],[Snijder],[Snijder],[Snijder]
host cell surface,CELL,bionlp13cg,[host],[host],[host],[host]
syncytia,CELL,bionlp13cg,[syncytia],[syncytia],[syncytia],[syncytia]
ACE 2,GENE_OR_GENE_PRODUCT,bionlp13cg,[ACE],[ACE],[ACE],[ACE]
PLP,SIMPLE_CHEMICAL,bionlp13cg,[PLP],[PLP],[PLP],[PLP]
structures,TISSUE,bionlp13cg,"[structures, 'Entity_Matching_Score :0.7519503831863403', CUI: C4025630, Name: Abnormal bone structure
Definition: Any anomaly in the composite material or the layered arrangement of the bony skeleton. [HPO:probinson]
TUI(s): T190
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7040408849716187', CUI: C4023528, Name: Abnormality of skin morphology
Definition: Any morphological abnormality of the skin. [HPO:probinson]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormal skin structure, Abnormal skin morphology]","[structures, 'Entity_Matching_Score :0.7519503831863403', CUI: C4025630, Name: Abnormal bone structure
Definition: Any anomaly in the composite material or the layered arrangement of the bony skeleton. [HPO:probinson]
TUI(s): T190
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7040408849716187', CUI: C4023528, Name: Abnormality of skin morphology
Definition: Any morphological abnormality of the skin. [HPO:probinson]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormal skin structure, Abnormal skin morphology]","[structures, 'Entity_Matching_Score :0.7519503831863403', CUI: C4025630, Name: Abnormal bone structure
Definition: Any anomaly in the composite material or the layered arrangement of the bony skeleton. [HPO:probinson]
TUI(s): T190
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7040408849716187', CUI: C4023528, Name: Abnormality of skin morphology
Definition: Any morphological abnormality of the skin. [HPO:probinson]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormal skin structure, Abnormal skin morphology]","[structures, 'Entity_Matching_Score :0.7519503831863403', CUI: C4025630, Name: Abnormal bone structure
Definition: Any anomaly in the composite material or the layered arrangement of the bony skeleton. [HPO:probinson]
TUI(s): T190
Aliases: (total: 0): 
	 , 'Entity_Matching_Score :0.7040408849716187', CUI: C4023528, Name: Abnormality of skin morphology
Definition: Any morphological abnormality of the skin. [HPO:probinson]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormal skin structure, Abnormal skin morphology]"
seed stocks,ORGANISM_SUBSTANCE,bionlp13cg,[seed stocks],[seed stocks],[seed stocks],[seed stocks]
mouse hepatitis virus,ORGANISM,bionlp13cg,[mouse hepatitis virus],[mouse hepatitis virus],[mouse hepatitis virus],[mouse hepatitis virus]
PLP,GENE_OR_GENE_PRODUCT,bionlp13cg,[PLP],[PLP],[PLP],[PLP]
KEYS,SIMPLE_CHEMICAL,bionlp13cg,[KEYS],[KEYS],[KEYS],[KEYS]
cellular membranes,CELLULAR_COMPONENT,bionlp13cg,[cellular membranes],[cellular membranes],[cellular membranes],[cellular membranes]
homologous RNA-RNA,CELLULAR_COMPONENT,bionlp13cg,[homologous],[homologous],[homologous],[homologous]
amino acid,SIMPLE_CHEMICAL,bionlp13cg,"[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]"
coronavirus proteinase,ORGANISM,bionlp13cg,[coronavirus proteinase],[coronavirus proteinase],[coronavirus proteinase],[coronavirus proteinase]
positive-strand RNA virus,ORGANISM,bionlp13cg,[positive-strand RNA virus],[positive-strand RNA virus],[positive-strand RNA virus],[positive-strand RNA virus]
bovine coronavirus,ORGANISM,bionlp13cg,[bovine],[bovine],[bovine],[bovine]
papain-like proteinase,GENE_OR_GENE_PRODUCT,bionlp13cg,[papain-like proteinase],[papain-like proteinase],[papain-like proteinase],[papain-like proteinase]
carcino-embryonic antigen–cell adhesion molecule,GENE_OR_GENE_PRODUCT,bionlp13cg,"[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]"
cell,CELL,bionlp13cg,[cell],[cell],[cell],[cell]
angiotensin converting enzyme 2,GENE_OR_GENE_PRODUCT,bionlp13cg,[angiotensin],[angiotensin],[angiotensin],[angiotensin]
tissue,TISSUE,bionlp13cg,"[tissue, 'Entity_Matching_Score :0.8027432560920715', CUI: C0241158, Name: Scar tissue
Definition: Formation of new tissue formed in the healing of a wound.
TUI(s): T033
Aliases: (total: 0): 
	 ]","[tissue, 'Entity_Matching_Score :0.8027432560920715', CUI: C0241158, Name: Scar tissue
Definition: Formation of new tissue formed in the healing of a wound.
TUI(s): T033
Aliases: (total: 0): 
	 ]","[tissue, 'Entity_Matching_Score :0.8027432560920715', CUI: C0241158, Name: Scar tissue
Definition: Formation of new tissue formed in the healing of a wound.
TUI(s): T033
Aliases: (total: 0): 
	 ]","[tissue, 'Entity_Matching_Score :0.8027432560920715', CUI: C0241158, Name: Scar tissue
Definition: Formation of new tissue formed in the healing of a wound.
TUI(s): T033
Aliases: (total: 0): 
	 ]"
lumen,CELLULAR_COMPONENT,bionlp13cg,[lumen],[lumen],[lumen],[lumen]
picornavirus 3C-like proteinase,ORGANISM,bionlp13cg,[picornavirus],[picornavirus],[picornavirus],[picornavirus]
murine coronavirus,ORGANISM,bionlp13cg,[murine],[murine],[murine],[murine]
genome,CELLULAR_COMPONENT,bionlp13cg,[genome],[genome],[genome],[genome]
membrane,CELLULAR_COMPONENT,bionlp13cg,"[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]"
coronavirus,ORGANISM,bionlp13cg,[coronavirus],[coronavirus],[coronavirus],[coronavirus]
cellular,CELL,bionlp13cg,[cellular],[cellular],[cellular],[cellular]
host cells,CELL,bionlp13cg,[host cells],[host cells],[host cells],[host cells]
cell-cell,CELL,bionlp13cg,[cell-cell],[cell-cell],[cell-cell],[cell-cell]
endocytic vesicles,CELLULAR_COMPONENT,bionlp13cg,[endocytic],[endocytic],[endocytic],[endocytic]
cats,ORGANISM,bionlp13cg,[cats],[cats],[cats],[cats]
extracellular space,CELLULAR_COMPONENT,bionlp13cg,[extracellular space],[extracellular space],[extracellular space],[extracellular space]
"Sawicki, 1986",GENE_OR_GENE_PRODUCT,bionlp13cg,[Sawicki],[Sawicki],[Sawicki],[Sawicki]
proteinase,GENE_OR_GENE_PRODUCT,bionlp13cg,[proteinase],[proteinase],[proteinase],[proteinase]
virions,ORGANISM,bionlp13cg,[virions],[virions],[virions],[virions]
strand,CELLULAR_COMPONENT,bionlp13cg,[strand],[strand],[strand],[strand]
Replicase gene proteins,GENE_OR_GENE_PRODUCT,bionlp13cg,[Replicase gene proteins],[Replicase gene proteins],[Replicase gene proteins],[Replicase gene proteins]
"Heusipp et al., 1997",ORGANISM,bionlp13cg,[Heusipp],[Heusipp],[Heusipp],[Heusipp]
Thiel,ORGANISM,bionlp13cg,[Thiel],[Thiel],[Thiel],[Thiel]
E. coli,ORGANISM,bionlp13cg,[E. coli],[E. coli],[E. coli],[E. coli]
nucleocapsid protein (N),GENE_OR_GENE_PRODUCT,bionlp13cg,[nucleocapsid protein],[nucleocapsid protein],[nucleocapsid protein],[nucleocapsid protein]
Gosert,ORGANISM_SUBSTANCE,bionlp13cg,[Gosert],[Gosert],[Gosert],[Gosert]
Krijnse-Locker,GENE_OR_GENE_PRODUCT,bionlp13cg,[Krijnse-Locker],[Krijnse-Locker],[Krijnse-Locker],[Krijnse-Locker]
double-membrane vesicles,CELLULAR_COMPONENT,bionlp13cg,[double-membrane vesicles],[double-membrane vesicles],[double-membrane vesicles],[double-membrane vesicles]
M,GENE_OR_GENE_PRODUCT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
replicase,GENE_OR_GENE_PRODUCT,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
SARS,ORGANISM,bionlp13cg,[SARS],[SARS],[SARS],[SARS]
Opstetten,ORGANISM_SUBSTANCE,bionlp13cg,[Opstetten],[Opstetten],[Opstetten],[Opstetten]
ER,GENE_OR_GENE_PRODUCT,bionlp13cg,[ER],[ER],[ER],[ER]
humans,ORGANISM,bionlp13cg,[humans],[humans],[humans],[humans]
BCoV,ORGANISM,bionlp13cg,['Nan'],['Nan'],['Nan'],['Nan']
canine coronavirus,ORGANISM,bionlp13cg,[canine coronavirus],[canine coronavirus],[canine coronavirus],[canine coronavirus]
TGEV,ORGANISM,bionlp13cg,[TGEV],[TGEV],[TGEV],[TGEV]
MHV,ORGANISM,bionlp13cg,[MHV],[MHV],[MHV],[MHV]
aminopeptidase N,GENE_OR_GENE_PRODUCT,bionlp13cg,[aminopeptidase N],[aminopeptidase N],[aminopeptidase N],[aminopeptidase N]
Syncytia,CELL,bionlp13cg,[Syncytia],[Syncytia],[Syncytia],[Syncytia]
intracellular,IMMATERIAL_ANATOMICAL_ENTITY,bionlp13cg,"[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]"
HCoV-229E,ORGANISM,bionlp13cg,[HCoV-229E],[HCoV-229E],[HCoV-229E],[HCoV-229E]
cells,CL,craft,"[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]","[cells, 'Entity_Matching_Score :0.7197655439376831', CUI: C1855752, Name: Abnormality of T cells
Definition: An abnormality of T cells. [HPO:curators]
TUI(s): T033
Aliases: (total: 4): 
	 Cellular immune defect, Abnormal T cells, Abnormal T cell morphology, Defective cellular immunity, 'Entity_Matching_Score :0.7136455774307251', CUI: C1276265, Name: Blister cells
Definition: Red blood cells that appear to have parts of them bitten away. [ISBN:978-0-07174889-6]
TUI(s): T025
Aliases: (total: 2): 
	 Bite cells, Degmacytes]"
overhanging genomic sequence,SO,craft,[genomic sequence],[genomic sequence],[genomic sequence],[genomic sequence]
gene deletion,SO,craft,[gene deletion],[gene deletion],[gene deletion],[gene deletion]
wild-type,SO,craft,[wild-type],[wild-type],[wild-type],[wild-type]
ORF,SO,craft,[ORF],[ORF],[ORF],[ORF]
cats,TAXON,craft,[cats],[cats],[cats],[cats]
toxic clones,CHEBI,craft,[toxic clones],[toxic clones],[toxic clones],[toxic clones]
sequences,SO,craft,"[sequences, 'Entity_Matching_Score :0.7058765888214111', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence]","[sequences, 'Entity_Matching_Score :0.7058765888214111', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence]","[sequences, 'Entity_Matching_Score :0.7058765888214111', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence]","[sequences, 'Entity_Matching_Score :0.7058765888214111', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence]"
deletion,SO,craft,[deletion],[deletion],[deletion],[deletion]
deletions,SO,craft,[deletions],[deletions],[deletions],[deletions]
deleted,SO,craft,[deleted],[deleted],[deleted],[deleted]
PLP,GGP,craft,[PLP],[PLP],[PLP],[PLP]
mutations,SO,craft,[mutations],[mutations],[mutations],[mutations]
introduced,SO,craft,['Nan'],['Nan'],['Nan'],['Nan']
viral,TAXON,craft,[viral],[viral],[viral],[viral]
bovine,TAXON,craft,[bovine],[bovine],[bovine],[bovine]
genomic clone,SO,craft,[genomic clone],[genomic clone],[genomic clone],[genomic clone]
polyprotein,SO,craft,[polyprotein],[polyprotein],[polyprotein],[polyprotein]
virus,TAXON,craft,[virus],[virus],[virus],[virus]
genetic elements,SO,craft,[genetic elements],[genetic elements],[genetic elements],[genetic elements]
genomic RNA,SO,craft,[genomic RNA],[genomic RNA],[genomic RNA],[genomic RNA]
RNA,SO,craft,[RNA],[RNA],[RNA],[RNA]
sites,SO,craft,[sites],[sites],[sites],[sites]
amino acid,CHEBI,craft,"[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]","[amino acid, 'Entity_Matching_Score :0.7626472115516663', CUI: C1328440, Name: Abnormality of amino acid metabolism
Definition: Abnormality of an amino acid metabolic process. [HPO:probinson]
TUI(s): T033
Aliases: (total: 1): 
	 Amino acid levels abnormal]"
genome RNA,SO,craft,[genome RNA],[genome RNA],[genome RNA],[genome RNA]
coronavirus replicase proteins,GGP,craft,[coronavirus replicase],[coronavirus replicase],[coronavirus replicase],[coronavirus replicase]
picornavirus 3C-like proteinase,GGP,craft,[picornavirus],[picornavirus],[picornavirus],[picornavirus]
cDNA clones,SO,craft,[cDNA clones],[cDNA clones],[cDNA clones],[cDNA clones]
human,TAXON,craft,"[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]","[human, 'Entity_Matching_Score :0.7354312539100647', CUI: C3277117, Name: Caudal appendage
Definition: The presence of a tail-like skin appendage located adjacent to the sacrum. [HPO:probinson]
TUI(s): T033
Aliases: (total: 2): 
	 Coccygeal tail, Human tail]"
strand RNA,SO,craft,[strand],[strand],[strand],[strand]
genome,SO,craft,[genome],[genome],[genome],[genome]
polyprotein cleavage sites,SO,craft,[polyprotein cleavage sites],[polyprotein cleavage sites],[polyprotein cleavage sites],[polyprotein cleavage sites]
double-membrane vesicle,GO,craft,[double-membrane],[double-membrane],[double-membrane],[double-membrane]
replicase polyprotein,SO,craft,[replicase polyprotein],[replicase polyprotein],[replicase polyprotein],[replicase polyprotein]
conservation,SO,craft,[conservation],[conservation],[conservation],[conservation]
polyproteins,SO,craft,['Nan'],['Nan'],['Nan'],['Nan']
MHV replicase proteins,GGP,craft,[MHV replicase],[MHV replicase],[MHV replicase],[MHV replicase]
chromosomes,GO,craft,['Nan'],['Nan'],['Nan'],['Nan']
gene,SO,craft,[gene],[gene],[gene],[gene]
ACE 2,GGP,craft,[ACE],[ACE],[ACE],[ACE]
molecular,CHEBI,craft,[molecular],[molecular],[molecular],[molecular]
cDNA,SO,craft,[cDNA],[cDNA],[cDNA],[cDNA]
endocytic vesicles,GO,craft,[endocytic],[endocytic],[endocytic],[endocytic]
